"","cust_id","contact","day","month","duration","campaign","pdays","previous","poutcome","y"
"1",1,"unknown",5,"may",261,1,-1,0,"unknown","no"
"2",2,"unknown",5,"may",151,1,-1,0,"unknown","no"
"3",3,"unknown",5,"may",76,1,-1,0,"unknown","no"
"4",4,"unknown",5,"may",92,1,-1,0,"unknown",
"5",5,"unknown",5,"may",198,1,-1,0,"unknown","no"
"6",6,"unknown",5,"may",139,1,-1,0,"unknown","no"
"7",7,"unknown",5,"may",217,1,-1,0,"unknown","no"
"8",8,"unknown",5,"may",380,1,-1,0,"unknown","no"
"9",9,"unknown",5,"may",50,1,-1,0,"unknown","no"
"10",10,"unknown",5,"may",55,1,-1,0,"unknown","no"
"11",11,"unknown",5,"may",222,1,-1,0,"unknown","no"
"12",12,"unknown",5,"may",137,1,-1,0,"unknown","no"
"13",13,"unknown",5,"may",517,1,-1,0,"unknown","no"
"14",14,"unknown",5,"may",71,1,-1,0,"unknown","no"
"15",15,"unknown",5,"may",174,1,-1,0,"unknown","no"
"16",16,"unknown",5,"may",353,1,-1,0,"unknown","no"
"17",17,"unknown",5,"may",98,1,-1,0,"unknown","no"
"18",18,"unknown",5,"may",38,1,-1,0,"unknown","no"
"19",19,"unknown",5,"may",219,1,-1,0,"unknown","no"
"20",20,"unknown",5,"may",54,1,-1,0,"unknown",
"21",21,"unknown",5,"may",262,1,-1,0,"unknown","no"
"22",22,"unknown",5,"may",164,1,-1,0,"unknown",
"23",23,"unknown",5,"may",160,1,-1,0,"unknown","no"
"24",24,"unknown",5,"may",342,1,-1,0,"unknown","no"
"25",25,"unknown",5,"may",181,1,-1,0,"unknown",
"26",26,"unknown",5,"may",172,1,-1,0,"unknown","no"
"27",27,"unknown",5,"may",296,1,-1,0,"unknown","no"
"28",28,"unknown",5,"may",127,1,-1,0,"unknown",
"29",29,"unknown",5,"may",255,2,-1,0,"unknown","no"
"30",30,"unknown",5,"may",348,1,-1,0,"unknown","no"
"31",31,"unknown",5,"may",225,1,-1,0,"unknown",
"32",32,"unknown",5,"may",230,1,-1,0,"unknown","no"
"33",33,"unknown",5,"may",208,1,-1,0,"unknown","no"
"34",34,"unknown",5,"may",226,1,-1,0,"unknown",
"35",35,"unknown",5,"may",336,1,-1,0,"unknown","no"
"36",36,"unknown",5,"may",242,1,-1,0,"unknown","no"
"37",37,"unknown",5,"may",365,1,-1,0,"unknown","no"
"38",38,"unknown",5,"may",1666,1,-1,0,"unknown",
"39",39,"unknown",5,"may",577,1,-1,0,"unknown",
"40",40,"unknown",5,"may",137,1,-1,0,"unknown","no"
"41",41,"unknown",5,"may",160,1,-1,0,"unknown","no"
"42",42,"unknown",5,"may",180,2,-1,0,"unknown","no"
"43",43,"unknown",5,"may",22,1,-1,0,"unknown","no"
"44",44,"unknown",5,"may",1492,1,-1,0,"unknown","no"
"45",45,"unknown",5,"may",616,1,-1,0,"unknown","no"
"46",46,"unknown",5,"may",242,1,-1,0,"unknown","no"
"47",47,"unknown",5,"may",355,1,-1,0,"unknown","no"
"48",48,"unknown",5,"may",225,2,-1,0,"unknown","no"
"49",49,"unknown",5,"may",160,1,-1,0,"unknown","no"
"50",50,"unknown",5,"may",363,1,-1,0,"unknown","no"
"51",51,"unknown",5,"may",266,1,-1,0,"unknown","no"
"52",52,"unknown",5,"may",253,1,-1,0,"unknown","no"
"53",53,"unknown",5,"may",179,1,-1,0,"unknown",
"54",54,"unknown",5,"may",787,1,-1,0,"unknown",
"55",55,"unknown",5,"may",145,1,-1,0,"unknown","no"
"56",56,"unknown",5,"may",174,1,-1,0,"unknown","no"
"57",57,"unknown",5,"may",104,1,-1,0,"unknown","no"
"58",58,"unknown",5,"may",13,1,-1,0,"unknown","no"
"59",59,"unknown",5,"may",185,1,-1,0,"unknown","no"
"60",60,"unknown",5,"may",1778,1,-1,0,"unknown","no"
"61",61,"unknown",5,"may",138,1,-1,0,"unknown","no"
"62",62,"unknown",5,"may",812,1,-1,0,"unknown","no"
"63",63,"unknown",5,"may",164,1,-1,0,"unknown","no"
"64",64,"unknown",5,"may",391,1,-1,0,"unknown","no"
"65",65,"unknown",5,"may",357,1,-1,0,"unknown",
"66",66,"unknown",5,"may",91,1,-1,0,"unknown","no"
"67",67,"unknown",5,"may",528,1,-1,0,"unknown",
"68",68,"unknown",5,"may",273,1,-1,0,"unknown",
"69",69,"unknown",5,"may",158,2,-1,0,"unknown","no"
"70",70,"unknown",5,"may",177,1,-1,0,"unknown","no"
"71",71,"unknown",5,"may",258,1,-1,0,"unknown","no"
"72",72,"unknown",5,"may",172,1,-1,0,"unknown","no"
"73",73,"unknown",5,"may",154,1,-1,0,"unknown","no"
"74",74,"unknown",5,"may",291,1,-1,0,"unknown","no"
"75",75,"unknown",5,"may",181,1,-1,0,"unknown","no"
"76",76,"unknown",5,"may",176,1,-1,0,"unknown",
"77",77,"unknown",5,"may",211,1,-1,0,"unknown","no"
"78",78,"unknown",5,"may",349,1,-1,0,"unknown","no"
"79",79,"unknown",5,"may",272,1,-1,0,"unknown","no"
"80",80,"unknown",5,"may",208,1,-1,0,"unknown",
"81",81,"unknown",5,"may",193,1,-1,0,"unknown","no"
"82",82,"unknown",5,"may",212,1,-1,0,"unknown","no"
"83",83,"unknown",5,"may",20,1,-1,0,"unknown","no"
"84",84,"unknown",5,"may",1042,1,-1,0,"unknown",
"85",85,"unknown",5,"may",246,1,-1,0,"unknown","no"
"86",86,"unknown",5,"may",529,2,-1,0,"unknown","no"
"87",87,"unknown",5,"may",1467,1,-1,0,"unknown",
"88",88,"unknown",5,"may",1389,1,-1,0,"unknown","yes"
"89",89,"unknown",5,"may",188,2,-1,0,"unknown","no"
"90",90,"unknown",5,"may",180,2,-1,0,"unknown","no"
"91",91,"unknown",5,"may",48,1,-1,0,"unknown","no"
"92",92,"unknown",5,"may",213,2,-1,0,"unknown",
"93",93,"unknown",5,"may",583,1,-1,0,"unknown","no"
"94",94,"unknown",5,"may",221,1,-1,0,"unknown","no"
"95",95,"unknown",5,"may",173,1,-1,0,"unknown","no"
"96",96,"unknown",5,"may",426,1,-1,0,"unknown","no"
"97",97,"unknown",5,"may",287,1,-1,0,"unknown","no"
"98",98,"unknown",5,"may",101,1,-1,0,"unknown","no"
"99",99,"unknown",5,"may",203,1,-1,0,"unknown","no"
"100",100,"unknown",5,"may",197,1,-1,0,"unknown","no"
"101",101,"unknown",5,"may",257,1,-1,0,"unknown","no"
"102",102,"unknown",5,"may",124,1,-1,0,"unknown","no"
"103",103,"unknown",5,"may",229,1,-1,0,"unknown","no"
"104",104,"unknown",5,"may",55,3,-1,0,"unknown",
"105",105,"unknown",5,"may",400,1,-1,0,"unknown","no"
"106",106,"unknown",5,"may",197,1,-1,0,"unknown","no"
"107",107,"unknown",5,"may",190,1,-1,0,"unknown","no"
"108",108,"unknown",5,"may",21,1,-1,0,"unknown","no"
"109",109,"unknown",5,"may",514,1,-1,0,"unknown","no"
"110",110,"unknown",5,"may",849,2,-1,0,"unknown","no"
"111",111,"unknown",5,"may",194,1,-1,0,"unknown","no"
"112",112,"unknown",5,"may",144,1,-1,0,"unknown","no"
"113",113,"unknown",5,"may",212,2,-1,0,"unknown","no"
"114",114,"unknown",5,"may",286,1,-1,0,"unknown","no"
"115",115,"unknown",5,"may",107,1,-1,0,"unknown",
"116",116,"unknown",5,"may",247,2,-1,0,"unknown","no"
"117",117,"unknown",5,"may",518,1,-1,0,"unknown","no"
"118",118,"unknown",5,"may",364,1,-1,0,"unknown","no"
"119",119,"unknown",5,"may",178,1,-1,0,"unknown","no"
"120",120,"unknown",5,"may",98,1,-1,0,"unknown","no"
"121",121,"unknown",5,"may",439,1,-1,0,"unknown","no"
"122",122,"unknown",5,"may",79,1,-1,0,"unknown","no"
"123",123,"unknown",5,"may",120,3,-1,0,"unknown","no"
"124",124,"unknown",5,"may",127,2,-1,0,"unknown","no"
"125",125,"unknown",5,"may",175,1,-1,0,"unknown",
"126",126,"unknown",5,"may",262,2,-1,0,"unknown",
"127",127,"unknown",5,"may",61,1,-1,0,"unknown",
"128",128,"unknown",5,"may",78,1,-1,0,"unknown","no"
"129",129,"unknown",5,"may",143,1,-1,0,"unknown","no"
"130",130,"unknown",5,"may",579,1,-1,0,"unknown","yes"
"131",131,"unknown",5,"may",677,1,-1,0,"unknown",
"132",132,"unknown",5,"may",345,1,-1,0,"unknown","no"
"133",133,"unknown",5,"may",185,1,-1,0,"unknown","no"
"134",134,"unknown",5,"may",100,2,-1,0,"unknown","no"
"135",135,"unknown",5,"may",125,2,-1,0,"unknown","no"
"136",136,"unknown",5,"may",193,1,-1,0,"unknown","no"
"137",137,"unknown",5,"may",136,1,-1,0,"unknown","no"
